"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"1_pcg_161800","Autres emprunts obligataires","161800","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_162100","Emprunts bancaires","162100","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_162600","Refinancements acquis","162600","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_163000","Emprunts auprès d'autres établissements financiers (assorties de sûretés)","163000","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_164000","Emprunts et dettes assorties de conditions particulières","164000","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_164100","Avances bloquées pour augmentation du capital","164100","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_164200","Avances reçues et comptes courants des associes bloques","164200","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_164400","Avances conditionnées de l’État et organismes internationaux","164400","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_165000","Emprunts non assorties de sûretés (a subdiviser selon l'ordre des comptes des emprunts)","165000","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_166000","Dettes rattachées a des participations","166000","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_166100","Dettes rattachées a des participations (groupe)","166100","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_166200","Dettes rattachées a des participations (hors groupe)","166200","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_166300","Dettes rattachées a des sociétés en participation","166300","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_167000","Dépôts et cautionnements reçus","167000","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_168100","Autres emprunts","168100","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_168500","Crédit fournisseurs d'immobilisations","168500","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_168800","Autres dettes non courantes","168800","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_17","Comptes de liaison des établissements et succursales","17","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_171000","Comptes des liaison des établissements","171000","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template","False"
